from_stop_id,to_stop_id,transfer_type,min_transfer_time
stop_point:SP_1093,stop_point:SP_1093,2,180
stop_point:SP_1095,stop_point:SP_1095,2,180
stop_point:SP_1095,stop_point:SP_3110,2,180
stop_point:SP_1096,stop_point:SP_1096,2,240
stop_point:SP_1096,stop_point:SP_3861,2,240
stop_point:SP_1097,stop_point:SP_1097,2,180
stop_point:SP_1097,stop_point:SP_3526,2,180
stop_point:SP_1098,stop_point:SP_1098,2,180
stop_point:SP_1098,stop_point:SP_2137,2,180
stop_point:SP_1098,stop_point:SP_3284,2,180
stop_point:SP_1098,stop_point:SP_332,2,180
stop_point:SP_11,stop_point:SP_11,2,180
stop_point:SP_11,stop_point:SP_1699,2,180
stop_point:SP_110,stop_point:SP_110,2,180
stop_point:SP_110,stop_point:SP_2824,2,180
stop_point:SP_1100,stop_point:SP_1100,2,180
stop_point:SP_1100,stop_point:SP_1998,2,180
stop_point:SP_1100,stop_point:SP_3741,2,180
stop_point:SP_1100,stop_point:SP_3855,2,180
stop_point:SP_1100,stop_point:SP_4792,2,180
stop_point:SP_1101,stop_point:SP_1101,2,180
stop_point:SP_1101,stop_point:SP_275,2,180
stop_point:SP_1102,stop_point:SP_1102,2,180
stop_point:SP_1102,stop_point:SP_625,2,180
stop_point:SP_1104,stop_point:SP_1104,2,180
stop_point:SP_1104,stop_point:SP_1121,2,180
stop_point:SP_1104,stop_point:SP_1256,2,180
stop_point:SP_1104,stop_point:SP_2843,2,180
stop_point:SP_1105,stop_point:SP_1105,2,180
stop_point:SP_1105,stop_point:SP_2612,2,180
stop_point:SP_1106,stop_point:SP_1106,2,180
stop_point:SP_1106,stop_point:SP_2115,2,180
stop_point:SP_1106,stop_point:SP_3232,2,180
stop_point:SP_1106,stop_point:SP_3971,2,180
stop_point:SP_1107,stop_point:SP_1107,2,180
stop_point:SP_1107,stop_point:SP_3990,2,180
stop_point:SP_1109,stop_point:SP_1109,2,180
stop_point:SP_1109,stop_point:SP_1316,2,180
stop_point:SP_111,stop_point:SP_111,2,180
stop_point:SP_111,stop_point:SP_2976,2,180
stop_point:SP_1110,stop_point:SP_1110,2,180
